locality,latitude,longitude,elevation_m_approx,display_name
Alandur,13.0067,80.2,9,"Alandur"
Ambathur,13.1143,80.1548,15,"Ambattur"
Anna university,13.0108,80.2339,8,"Anna University, Guindy"
Ayanavaram taluk office,13.108,80.232,9,"Ayanavaram Taluk Office"
CD Hospital Tondiarpet,13.125,80.29,3,"CD Hospital, Tondiarpet"
Chennai AP,12.9941,80.1709,8,"Chennai International Airport, Meenambakkam"
Chennai collectorate building,13.094,80.29,4,"Chennai Collectorate, Rajaji Salai"
Chennai nungambakkam,13.0604,80.2496,8,"Nungambakkam, Chennai"
Chennai port trust,13.0989,80.2963,4,"Chennai Port, George Town"
DGP Office,13.0524,80.2824,5,"Tamil Nadu Police Headquarters, Mylapore"
Gov hr sec school MGR Nagar,13.035,80.21,10,"Government Higher Secondary School, MGR Nagar"
Govt. arts college,13.035,80.24,7,"Government Arts College (Autonomous), Nandanam"
MYLAPORE-TRIPLICANE TALUK,13.0368,80.2676,4,"Mylapore–Triplicane Taluk"
Pachaiyappa college,13.085,80.2707,7,"Pachaiyappa's College, Shenoy Nagar"
Perambur Corporation park,13.115,80.235,9,"Perambur Corporation Park"
Purasawalkam - Perambur,13.09,80.25,8,"Purasawalkam–Perambur"
Sholinganallur,12.901,80.2279,5,"Sholinganallur"
Zone 02 Manali,13.17,80.26,3,"Manali (Zone 02)"
Zone 03 Puzhal,13.16,80.19,10,"Puzhal (Zone 03)"
Zone 06 D65 Kolathur,13.12,80.21,12,"Kolathur (Zone 06)"
Zone 06 T.V.K Nagar,13.115,80.22,10,"T.V.K. Nagar (Zone 06)"
Zone 07 U18 D81 Vanagaram,13.065,80.145,15,"Vanagaram (Zone 07)"
Zone 08 Anna Nagar,13.085,80.2101,10,"Anna Nagar (Zone 08)"
Zone 08 Malar colony,13.07,80.225,9,"Malar Colony (Zone 08)"
Zone 11 Valasaravakkam,13.045,80.175,12,"Valasaravakkam (Zone 11)"
Zone 12 Meenambakkam,12.9941,80.1709,8,"Meenambakkam (Zone 12)"
Zone 13 Adyar,13.0012,80.2565,4,"Adyar (Zone 13)"
Zone 13 Adyar Eco Park,12.995,80.25,4,"Adyar Eco Park (Zone 13)"
Zone 14 U41 Perungudi,12.965,80.242,3,"Perungudi (Zone 14)"
Zone 15 Sholinganallur,12.901,80.2279,5,"Sholinganallur (Zone 15)"
