date,locality,latitude,longitude,rainfall_mm,rainfall_3d_mm,rainfall_7d_mm,rainfall_30d_mm,flood_occurred_documented
1994-01-29,Alandur,13.0067,80.2,7.0,0.0,0.0,0.0,0.0
1994-02-06,Alandur,13.0067,80.2,7.2,7.0,7.0,7.0,0.0
1994-02-07,Alandur,13.0067,80.2,27.2,14.2,14.2,14.2,0.0
1994-02-12,Alandur,13.0067,80.2,5.5,41.4,41.4,41.4,0.0
1994-02-13,Alandur,13.0067,80.2,24.5,39.9,46.9,46.9,0.0
1994-02-14,Alandur,13.0067,80.2,10.0,57.199999999999996,71.4,71.4,0.0
1994-02-15,Alandur,13.0067,80.2,2.0,40.0,81.4,81.4,0.0
1994-02-16,Alandur,13.0067,80.2,15.5,36.5,83.4,83.4,0.0
1994-02-17,Alandur,13.0067,80.2,245.5,27.5,91.9,98.9,0.0
1994-02-18,Alandur,13.0067,80.2,5.0,263.0,330.2,344.4,0.0
1994-03-05,Alandur,13.0067,80.2,5.0,266.0,308.0,349.4,0.0
1994-06-11,Alandur,13.0067,80.2,1.5,255.5,307.5,354.4,0.0
1994-06-18,Alandur,13.0067,80.2,32.5,11.5,284.5,355.9,0.0
1994-06-25,Alandur,13.0067,80.2,10.2,39.0,307.0,388.4,0.0
1994-06-26,Alandur,13.0067,80.2,5.5,44.2,315.2,398.6,0.0
1994-06-28,Alandur,13.0067,80.2,9.0,48.2,305.2,404.1,0.0
1994-06-30,Alandur,13.0067,80.2,12.5,24.7,68.7,413.1,0.0
1994-07-07,Alandur,13.0067,80.2,3.1,27.0,76.2,425.6,0.0
1994-07-08,Alandur,13.0067,80.2,35.5,24.6,74.3,428.7,0.0
1994-07-09,Alandur,13.0067,80.2,15.5,51.1,108.3,464.2,0.0
1994-07-10,Alandur,13.0067,80.2,3.5,54.1,91.3,479.7,0.0
1994-07-12,Alandur,13.0067,80.2,20.5,54.5,84.6,483.2,0.0
1994-07-17,Alandur,13.0067,80.2,10.0,39.5,99.6,503.7,0.0
1994-07-19,Alandur,13.0067,80.2,17.0,34.0,100.6,513.7,0.0
1994-07-21,Alandur,13.0067,80.2,21.5,47.5,105.1,530.7,0.0
1994-07-22,Alandur,13.0067,80.2,26.0,48.5,123.5,552.2,0.0
1994-07-24,Alandur,13.0067,80.2,82.5,64.5,114.0,578.2,0.0
1994-07-25,Alandur,13.0067,80.2,47.5,130.0,181.0,660.7,0.0
1994-07-26,Alandur,13.0067,80.2,5.0,156.0,225.0,708.2,0.0
1994-07-27,Alandur,13.0067,80.2,3.0,135.0,209.5,713.2,0.0
1994-07-28,Alandur,13.0067,80.2,7.5,55.5,202.5,716.2,0.0
1994-07-30,Alandur,13.0067,80.2,3.5,15.5,193.0,716.7,0.0
1994-08-02,Alandur,13.0067,80.2,7.0,14.0,175.0,713.0,0.0
1994-08-08,Alandur,13.0067,80.2,7.2,18.0,156.0,692.8000000000001,0.0
1994-08-20,Alandur,13.0067,80.2,2.0,17.7,80.7,694.5,0.0
1994-08-24,Alandur,13.0067,80.2,10.3,16.2,35.2,672.0,0.0
1994-08-29,Alandur,13.0067,80.2,4.3,19.5,40.5,672.3000000000001,0.0
